	id	doc	frame	minority	linguistic_minority	religious_minority	social_class_minority	sexual_orientation_minority	ethnic_minority	national_minority	other_minority	disabled_minority	gender	age_numerical	income	citizenship	education	political_left_right	exp_housing_discrim	city_district	city_neighborhood	prof_situation	fear_forced_out	seen_landlord_pressure	changes_in_community	seen_renovations	neighborhood_connection	respect_rules	neighbhorhood_crime	env_pollution_impact	climate_concern	age	city	country	preframe_densifproj_acceptance	postframe_densifproj_acceptance	densifproj_on_rent	densifproj_on_social	imce_RentContr	imce_InclZon	imce_Partic	imce_forProf	imce_dens	imce_mixUse	imce_ClimNeutr	imce_RentContr_se	imce_InclZon_se	imce_Partic_se	imce_forProf_se	imce_dens_se	imce_mixUse_se	imce_ClimNeutr_se	ResponseId	Q12.6_corrected	response_char_length	Document_No	Dominant_Topic	Topic_Perc_Contrib	Topic_0	Topic_1	Topic_2	Topic_3	Topic_4	Topic_5	Topic_6	Topic_7	Topic_8	Topic_9	Topic_10
0	R_10PI5FKTTlId8Ec	I'm not yo I'm not talking to you 	other district	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	Female	20.0	8.0	US Naturalization	Master's degree	5.0	No	Southwest Side	West Lawn	Not working (disability/illness)	-1	-1	0	-1	-2	1	2	6.0	0	1	Chicago	United States	0	2	2	2	0.666666666666667	1.0	1.0	1.0	0.6	0.666666666666667	0.75	0.251976315339485	0.109108945117996	0.243975018237133	0.204124145231932	0.173205080756888	0.251976315339485	0.222439130250652	R_10PI5FKTTlId8Ec	I'm not yo I'm not talking to you 	34	0	4.0	0.1044	0.09348385818974052	0.089126559714795	0.089126559714795	0.089126559714795	0.10437710437710435	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795
1	R_1gduid1fizdQ4d8	It is the way it is	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	40.0	8.0	US Born	Bachelor's degree	6.0	No	North Side	North Center	Employed (full-time)	-1	-1	1	2	2	1	1	9.0	2	3	Chicago	United States	2	2	2	2	1.0	0.6	1.0	0.5	0.2	0.333333333333333	0.6	0.534522483824849	0.249443825784929	0.534522483824849	0.235702260395516	0.163299316185545	0.322030594359765	0.249443825784929	R_1gduid1fizdQ4d8	It is the way it is	19	1	0.0	0.0909	0.09090909090909093	0.09090909090909093	0.09090909090909093	0.09090909090909093	0.09090909090909093	0.09090909090909093	0.09090909090909093	0.09090909090909093	0.09090909090909093	0.09090909090909093	0.09090909090909093
2	R_23WCgmyuPAy3b1G	Because it would be more fair to people that don't have much	other district	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	Female	21.0	5.0	US Born	Secondary school certificate	1.0	Yes	Central, Near North, and Near North Side	Near North Side	Employed (part-time)	-2	0	-1	1	1	0	0	9.0	2	1	Chicago	United States	1	0	1	-3	1.0	0.666666666666667	1.0	0.6	0.714285714285714	0.5	0.6	0.5	0.295468420142639	0.267261241912424	0.223606797749979	0.193429485824666	0.239356776939085	0.223606797749979	R_23WCgmyuPAy3b1G	Because it would be more fair to people that don't have much	60	2	10.0	0.1066	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.08954933954933955	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.1045066045066045	0.10664335664335663
3	R_1pLEMXp5iJbankG	I choose proposal 2 because you offered me better things than proposal 1. 	other district	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	35.0	6.0	US Born	Higher technical examination	7.0	No	North Side	Lincoln Park	Employed (full-time)	2	2	2	2	2	2	2	10.0	0	3	Chicago	United States	2	2	2	2	1.40433338743068e-16	0.666666666666667	-6.31950024343806e-16	0.666666666666667	0.333333333333333	0.5	0.75	0.342326598440729	0.314970394174356	0.342326598440729	0.314970394174356	0.208333333333333	0.279508497187474	0.255155181539914	R_1pLEMXp5iJbankG	I choose proposal 2 because you offered me better things than proposal 1. 	74	3	3.0	0.1046	0.08576329331046312	0.08576329331046312	0.08576329331046312	0.104631217838765	0.104631217838765	0.08576329331046312	0.104631217838765	0.08576329331046312	0.08576329331046312	0.08576329331046312	0.08576329331046312
4	R_2OYEXKWutkzQOmS	Because I felt like it wouldn't be good enough for us 	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	20.0	4.0	US Born	Secondary school certificate	1.0	No	West and Near West Side	Near West Side	Employed (part-time)	0	1	2	0	-1	-1	-1	8.0	2	1	Chicago	United States	-3	0	0	1	1.0	0.666666666666667	1.0	0.8	0.571428571428572	0.5	0.25	0.353553390593274	0.314970394174356	0.52704627669473	0.223606797749979	0.206196524710581	0.385275875185561	0.222439130250652	R_2OYEXKWutkzQOmS	Because I felt like it wouldn't be good enough for us 	54	4	0.0	0.1259	0.12587412587412586	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874
5	R_2D78ZtjvOL2VauO	I prefer the lower density idea, but also mixed use with restaurants, cafes, etc. because I think it would draw other people from the surrounding communities more often as opposed to crafts or just apartments. Would also be more beneficial to residents of that neighborhood.	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	56.0	1.0	US Born	Higher education entrance qualification	2.0	No	South Side	Bridgeport	Not employed (unemployed)	-2	-1	-1	1	-1	0	-1	4.0	1	5	Chicago	United States	0	0	1	1	5.61733354972272e-16	0.75	1.0	0.833333333333334	1.0	1.0	1.0	2.3871206971906e-16	0.153093108923949	0.188982236504614	0.131761569173683	7.843644695699191e-17	0.188982236504614	0.188982236504614	R_2D78ZtjvOL2VauO	I prefer the lower density idea, but also mixed use with restaurants, cafes, etc. because I think it would draw other people from the surrounding communities more often as opposed to crafts or just apartments. Would also be more beneficial to residents of that neighborhood.	274	5	5.0	0.1574	0.11261872455902305	0.067842605156038	0.067842605156038	0.08276797829036635	0.08608472787577265	0.15739484396200815	0.09271822704658525	0.11261872455902305	0.067842605156038	0.067842605156038	0.0844263530830695
6	R_1pxIniAiPx4MXHu	Whatever one sounds better	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	37.0	2.0	US Born	Secondary school certificate	5.0	No	Southwest Side	Garfield Ridge	Employed (full-time)	0	-1	0	0	0	0	0	4.0	1	3	Chicago	United States	0	0	1	0	0.5	0.666666666666667	0.5	0.166666666666667	0.375	-4.21300016229204e-16	0.25	0.385275875185561	0.295468420142639	0.385275875185561	0.181620789314195	0.192637937592781	0.52704627669473	0.265165042944955	R_1pxIniAiPx4MXHu	Whatever one sounds better	26	6	3.0	0.0978	0.089126559714795	0.089126559714795	0.09566250742721329	0.09784115666468605	0.09348385818974052	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795
7	R_2vbHXR2XJtxJNfq	My positions are better 	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	22.0	2.0	US Born	Secondary school certificate	4.0	No	South Side	South Shore	Employed (part-time)	1	0	0	-1	0	2	1	3.0	0	1	Chicago	United States	-1	-1	0	0	-2.80866677486136e-16	0.333333333333333	1.0	0.4	0.714285714285714	1.0	0.5	0.52704627669473	0.314970394174356	0.342326598440729	0.244948974278318	0.159719141249985	0.52704627669473	0.279508497187474	R_2vbHXR2XJtxJNfq	My positions are better 	24	7	8.0	0.1087	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795	0.089126559714795	0.10873440285204988	0.089126559714795	0.089126559714795
8	R_3kHAhwATe1o0N82	This is Good Survey.	other district	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	Male	46.0	9.0	US Naturalization	Higher technical examination	7.0	No	Northwest Side	Portage Park	Employed (full-time)	2	2	2	2	2	2	2	10.0	2	4	Chicago	United States	3	3	3	3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.32401821506521e-16	7.85046229341887e-17	2.3737566748887003e-16	9.555278410998351e-17	1.11022302462516e-16	1.32401821506521e-16	9.3622225828712e-17	R_3kHAhwATe1o0N82	This is Good Survey.	20	8	0.0	0.1066	0.10664335664335661	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.10664335664335661	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874
9	R_cACHPOld7dnejiF	I don't want the density to double!!	district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	35.0	7.0	US Born	Bachelor's degree	4.0	No	Far North Side	Rogers Park	Not working (other reason)	-1	-1	1	0	-1	-1	-1	7.0	1	3	Chicago	United States	0	0	1	1	1.0	0.5	0.666666666666667	0.5	0.8	0.5	0.5	0.243975018237133	0.279508497187474	0.314970394174356	0.228217732293819	0.2	0.166666666666667	0.228217732293819	R_cACHPOld7dnejiF	I don't want the density to double!!	36	9	7.0	0.1195	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.0874125874125874	0.11946386946386946	0.09382284382284382	0.0874125874125874	0.0874125874125874
