	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords	Text
0	0	4.0	0.1044	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I'm not yo I'm not talking to you 
1	1	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It is the way it is
2	2	10.0	0.1066	people, live, city, lot, family, place, price, house, bad, property	Because it would be more fair to people that don't have much
3	3	3.0	0.1046	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I choose proposal 2 because you offered me better things than proposal 1. 
4	4	0.0	0.1259	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because I felt like it wouldn't be good enough for us 
5	5	5.0	0.1574	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I prefer the lower density idea, but also mixed use with restaurants, cafes, etc. because I think it would draw other people from the surrounding communities more often as opposed to crafts or just apartments. Would also be more beneficial to residents of that neighborhood.
6	6	3.0	0.0978	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Whatever one sounds better
7	7	8.0	0.1087	area, high, environment, cost, pay, life, problem, space, quality, crime	My positions are better 
8	8	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	This is Good Survey.
9	9	7.0	0.1195	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I don't want the density to double!!
10	10	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Yo yo bro I don't know why 
11	11	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Too many legalities
12	12	2.0	0.1008	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Generally, I didn't agree with the subsidized housing issue.
13	13	3.0	0.1044	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Because some are great
14	14	6.0	0.1148	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	It's only logical to go by the decisions I made based on what I feel is healthy for the community.
15	15	0.0	0.1259	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	some of them seem to me to be good and others not so good proposals
16	16	7.0	0.1212	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I think the 10 percent is too high of a yearly increase
17	17	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	because I think it is too good 
18	18	2.0	0.1235	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I think there should be more affordable housing for seniors.
19	19	9.0	0.1144	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I am of the notion of physical interaction but I also want to state that unregulated price increase of rent is mere fraud, give room for the most basic amenities
20	20	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Was the better choice 
21	21	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I felt too much was one sided
22	22	5.0	0.1582	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	prefer national not international developers
23	23	5.0	0.1279	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Was more in favor of projects with smaller overall density increases, but buttressed the business establishment in the neighborhood. 
24	24	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I like some proposal , because I think that's alright 
25	25	8.0	0.1109	area, high, environment, cost, pay, life, problem, space, quality, crime	The increase of rent building place that would bring in more crimes
26	26	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Rent Increase or for profit investors
27	27	7.0	0.1263	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I want the lowest population density, plus I am opposed to rent control. I believe in the free market
28	28	4.0	0.119	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I think the neighborhood should be involved in deciding building things 
29	29	3.0	0.1235	make, thing, development, idea, great, time, favour, densification, infrastructure, year	some communities don't have enough job security
30	30	0.0	0.1372	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It was a good proposal and a good quality product and services
31	31	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	My decision was on the proposal that sound the best to me.
32	32	10.0	0.1403	people, live, city, lot, family, place, price, house, bad, property	I'm for anything that improves the city and helps people out
33	33	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because the proposal was less for 1 than 2 I chose proposal number 1
34	34	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I want to be involved in my community 
35	35	5.0	0.1268	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I don't like having any international investors so I would almost always vote against that. I also don't care for 50% or more population density
36	36	2.0	0.1046	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Well I disagree with some people I don't side with them.
37	37	9.0	0.1308	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I am torn on rent control.  I haven't fully decided if it is good or not.
38	38	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because its something I can benefit from 
39	39	2.0	0.1109	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	They tend to push out the lower and middle income in favor of upper or higher income
40	40	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	It's very explanative and descriptive
41	41	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I feel the there is positivity and negativity in all
42	42	6.0	0.1067	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Increasing the rent is not something I'm in favor of
43	43	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Mostly along lines of affordability
44	44	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Very good proposal.
45	45	1.0	0.1445	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Rent caps for a specified time are ineffective. Time after time the owners have drastically raised rents as soon as the initial term expires.
46	46	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I don't know enough 
47	47	2.0	0.1235	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Residents have a say and housing is affordable
48	48	8.0	0.1087	area, high, environment, cost, pay, life, problem, space, quality, crime	I don't want crime to go up 
49	49	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	None can be implemented fairly
50	50	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Mostly because it affects the community more
51	51	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because all the  proposals felt like they could do something 
52	52	4.0	0.1259	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I like how the survey was not confusing 
53	53	0.0	0.1088	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Some Proposals Had Good Prospects Some Didn't.
54	54	5.0	0.136	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Prefer 0% climate impact; no foreign investor, some rent control, mixed occupancy & limited growth in population.
55	55	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because it's better 
56	56	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	The percentage overall on any subject
57	57	5.0	0.1424	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I was mainly looking at whether there are residential apartments only or mixed 
58	58	10.0	0.1087	people, live, city, lot, family, place, price, house, bad, property	The way my family is
59	59	7.0	0.1212	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	how much government involvement density of population 
60	60	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I like this all survey questions.
61	61	2.0	0.1301	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I am wary of for-profit investors in general and think all of the percentages of affordable housing were too low.
62	62	0.0	0.1235	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I like my neighborhood and would love to see it further developed.
63	63	10.0	0.1169	people, live, city, lot, family, place, price, house, bad, property	With the virus going around and people have lost their jobs we don't need a rent increase now
64	64	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	rent in the city of Chicago 
65	65	8.0	0.1331	area, high, environment, cost, pay, life, problem, space, quality, crime	having a project like this would bring more traffic to an already densely populated area
66	66	5.0	0.1328	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I tried to focus on lower density, more local business and how it would be funded. 
67	67	2.0	0.15	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I am concerned about the amount of affordable housing
68	68	1.0	0.1169	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Building large buildings for housing brings the neighborhood down
69	69	3.0	0.1347	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I decided for or against certain proposals because to prevent overcrowding of the community, some things are to be avoided 
70	70	4.0	0.1235	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Residents should be involved in changes
71	71	3.0	0.1149	make, thing, development, idea, great, time, favour, densification, infrastructure, year	100% population is unreasonable. It would lead to overcrowding, crime and disease.
72	72	0.0	0.1313	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I am against bringing more big projects and population to an already densely populated area. As a homeowner, I do not want more people congesting the neighborhood. 
73	73	3.0	0.1109	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I'm not in favor of rent control. The community needs to be involved. Government housing isn't the greatest run management. Would want low density
74	74	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	just because its right 
75	75	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Because the proposal which is appealing to me I accept them.
76	76	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	This is good and fun.
77	77	4.0	0.1192	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because some of them are increasing of some percentage and other no, also I would like be involve in some decisions and not only someone else only.
78	78	1.0	0.1233	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Climate neutral with some rent controls.
79	79	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Really not into that.
80	80	1.0	0.1212	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I am in favor of rent caps in maximum 10 percent increase. the working class are barely making it, work all day everyday to barely be able to pay rent 
81	81	8.0	0.1583	area, high, environment, cost, pay, life, problem, space, quality, crime	The biggest one I decided against was to have small businesses as  well as apartments in the same building. These two go against one another in the short and long run. The biggest obstacle would be the crime
82	82	4.0	0.119	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Looked at overall impact of proposals and chose that had the most benefit to the area or least harm
83	83	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I did the best I could with the facts
84	84	2.0	0.1266	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	The big factors are low income housing (should be higher than 20%), net zero carbon emissions is a plus, any for-profit company is a minus, and over 50% increase in population density is insane unless you're going to put a Mariano's on the ground floor.
85	85	2.0	0.1087	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Because all it wanted was housing
86	86	10.0	0.1067	people, live, city, lot, family, place, price, house, bad, property	To many white people and not enough minority 
87	87	7.0	0.1274	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Population increase is a decisive factor for me. 
88	88	6.0	0.1675	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I'm generally in favor of most proposals because I like the idea of communities being more inclusive toward low income and small businesses 
89	89	10.0	0.1331	people, live, city, lot, family, place, price, house, bad, property	Fully use of the land and decrease the property tax.
90	90	6.0	0.1588	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	In my opinion, housing projects generally becomes a way to stack the marginalized, disenfranchised and poor together in a way that somehow make them even more marginalized, disenfranchised and somehow disconnected and isolated within the community it sits. 
91	91	7.0	0.1352	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I do not agree with an increase in population density greater than 20%.  
92	92	0.0	0.1169	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I don't mind a certain degree of public housing. They can be good neighbors
93	93	4.0	0.1109	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	density above 20% is too much for this area and resident input is needed
94	94	9.0	0.1248	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	rent controls generally lead to housing shortages, so I am against them
95	95	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I looked to see what would benefit the neighborhood more
96	96	10.0	0.1372	people, live, city, lot, family, place, price, house, bad, property	Rent control needs to be in place so most can afford to live.
97	97	3.0	0.1148	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Overall increasing rental costs is making it prohibitive to live in neighborhood.
98	98	0.0	0.1259	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	What's best for the neighborhood 
99	99	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I asked for help 
100	100	8.0	0.1345	area, high, environment, cost, pay, life, problem, space, quality, crime	I don't like the idea of packing more people into the city because Chicago has too many problems to begin with that they are not dealing with. Bad police, horrible debt, poor schools. They need to focus on those problems before looking to increase populations.
101	101	1.0	0.1046	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I think Proposal 2 would fit great for me and my family 
102	102	1.0	0.1169	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I looked for affordable housing, businesses and apartments, and climate effect.
103	103	3.0	0.1046	make, thing, development, idea, great, time, favour, densification, infrastructure, year	interesting ideas but not more people
104	104	4.0	0.1128	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I am in favor of having residents opinions as to what to build because we are the ones living in here so therefore we know what WE NEED. Is good to have new buildings but not increasing population.
105	105	5.0	0.1087	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I need more room
106	106	10.0	0.1729	people, live, city, lot, family, place, price, house, bad, property	I don't actually accept most of these, considering it's outrageous the rent in Chicago and there's so many abandoned lots and worthless condos that could be turned into homeless shelters considering even home owners can't pay the disgusting and unfair property tax. Chicago politicians deserve to loose long time decade old residents like my family to leave this city and never look back.
107	107	10.0	0.1109	people, live, city, lot, family, place, price, house, bad, property	For me I care more about price of rent and size of population, the smaller the better 
108	108	6.0	0.1193	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I generally favored those with less density
109	109	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	went by how they looked
